match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
18346,59.0,364.0,0.0,499,18405,0.0032056506384134744,0.019777234447161098,76.0
1328308,21630.0,21682.0,1286996.0,52869,1349938,0.01602295809140864,0.016061478379007035,9557.0
466565,476.0,475.0,142233.0,1395,467041,0.0010191824700615149,0.0010170413304185285,444.0
22842,13.0,60.0,0.0,132,22855,0.000568803325311748,0.0026252461168234523,59.0
12401,75.0,498.0,0.0,634,12476,0.006011542160949022,0.03991663994870151,61.0
75398,72.0,176.0,0.0,649,75470,0.0009540214654829733,0.0023320524711806017,401.0
9249,19.0,58.0,3096.0,100,9268,0.0020500647388864914,0.0062580923608113945,23.0
35138,82.0,262.0,12470.0,454,35220,0.0023282226007950027,0.007438955139125497,110.0
30010,91.0,167.0,325.0,322,30101,0.0030231553768977773,0.005547988438922295,64.0
2237,1.0,9.0,0.0,26,2238,0.00044682752457551384,0.004021447721179625,16.0
25458,51.0,53.0,1633.0,289,25509,0.001999294366694108,0.0020776980673487787,185.0
25388,12.0,113.0,12.0,166,25400,0.00047244094488188977,0.004448818897637795,41.0
303009,142.0,403.0,279124.0,1012,303151,0.0004684134309304604,0.0013293705117251799,467.0
7463,86.0,331.0,0.0,514,7549,0.011392237382434759,0.04384686713471983,97.0
31444,65.0,999.0,954.0,1250,31509,0.002062902662731283,0.031705227077977724,186.0
93634,42.0,153.0,38.0,298,93676,0.0004483539006789359,0.0016332892096161237,103.0
359852,608.0,346.0,119381.0,1338,360460,0.0016867336181545802,0.0009598845919103368,384.0
849483,1443.0,2207.0,33531.0,4818,850926,0.0016957996347508478,0.00259364504081436,1168.0
255171,61.0,55.0,90225.0,252,255232,0.0002389982447342026,0.00021549022066198596,136.0
732784,1282.0,1672.0,1375540.0,3890,734066,0.001746436968882907,0.0022777243463121843,936.0
748293,11393.0,11658.0,1355464.0,28341,759686,0.014996985596680733,0.015345813928386201,5290.0
528210,838.0,686.0,538561.0,2215,529048,0.001583977257262101,0.0012966687332718393,691.0
9857,76.0,266.0,2051.0,406,9933,0.007651263465216954,0.026779422128259338,64.0
522812,1840.0,1700.0,1897494.0,4415,524652,0.0035070866021667695,0.003240243056349733,875.0
746224,276.0,415.0,667244.0,1067,746500,0.00036972538513060953,0.0005559276624246483,376.0
521902,325.0,443.0,2361733.0,1037,522227,0.0006223347318311768,0.0008482901113883426,269.0
1059679,950.0,873.0,0.0,2594,1060629,0.0008956949131128792,0.0008230964833132037,771.0
1353595,813.0,1054.0,2471134.0,3075,1354408,0.0006002622548006214,0.0007781997743663652,1208.0
1112923,1073.0,1055.0,7339850.0,3129,1113996,0.0009631991497276471,0.000947041102481517,1001.0
620706,341.0,448.0,1450667.0,1198,621047,0.0005490727754904218,0.0007213624733715806,409.0
17978,51.0,198.0,3907.0,599,18029,0.0028287758611126516,0.010982306284319707,350.0
3609,4.0,16.0,20.0,29,3613,0.0011071132023249377,0.004428452809299751,9.0
226517,127.0,285.0,47927.0,1084,226644,0.0005603501526623251,0.001257478689045375,672.0
1542533,441.0,696.0,5709508.0,1636,1542974,0.00028581168574454266,0.00045107694620907416,499.0
25736,52.0,259.0,1702.0,560,25788,0.0020164417558554367,0.01004343105320304,249.0
1394264,798.0,833.0,5942540.0,2552,1395062,0.0005720175877487882,0.0005971060784395245,921.0
17610,115.0,405.0,0.0,596,17725,0.006488011283497884,0.022849083215796897,76.0
548076,322.0,706.0,896109.0,1671,548398,0.0005871647963705193,0.0012873861684397098,643.0
1782794,2618.0,3358.0,7328506.0,8255,1785412,0.0014663282200410885,0.0018807983815500287,2279.0
15334,158.0,218.0,8631.0,532,15492,0.010198812290214304,0.014071778982700749,156.0
791394,691.0,741.0,2334853.0,2403,792085,0.0008723811207130548,0.0009355056591148677,971.0
359505,523.0,496.0,122384.0,1433,360028,0.0014526647927383426,0.0013776706256180076,414.0
5410,9.0,100.0,0.0,161,5419,0.0016608230300793503,0.018453589223103892,52.0
2464731,15769.0,16702.0,4703061.0,41080,2480500,0.0063571860511993546,0.006733319895182423,8609.0
94619,22.0,118.0,161.0,219,94641,0.00023245739161674117,0.0012468169186716116,79.0
669982,189.0,467.0,593762.0,1208,670171,0.00028201757461901515,0.0006968370759104765,552.0
16623,7.0,8.0,0.0,29,16630,0.0004209260372820204,0.0004810583283223091,14.0
20420,91.0,69.0,0.0,191,20511,0.004436643752133001,0.0033640485593096387,31.0
18281,33.0,295.0,0.0,370,18314,0.001801900185650322,0.016107895598995305,42.0
991049,1002.0,987.0,2312779.0,3068,992051,0.0010100287182816207,0.0009949085278881831,1079.0
2699301,2229.0,2250.0,503918.0,6928,2701530,0.000825088005685667,0.0008328613785521538,2449.0
149156,67.0,110.0,32480.0,445,149223,0.0004489924475449495,0.0007371517795514097,268.0
13344,168.0,511.0,8376.0,860,13512,0.012433392539964476,0.03781823564239195,181.0
2438,14.0,69.0,2472.0,103,2452,0.005709624796084829,0.028140293637846654,20.0
1222287,8803.0,9726.0,2206975.0,23209,1231090,0.007150573881682086,0.007900315980147675,4680.0
1739207,1099.0,1792.0,6974050.0,4260,1740306,0.0006314981388330558,0.0010297039716003968,1369.0
2958,5.0,38.0,0.0,45,2963,0.0016874789065136687,0.01282483968950388,2.0
4063,6.0,95.0,0.0,110,4069,0.0014745637748832638,0.02334725976898501,9.0
33535,6.0,166.0,270.0,219,33541,0.0001788855430666945,0.004949166691511881,47.0
37570,221.0,1302.0,2.0,1826,37791,0.005847953216374269,0.03445264745574343,303.0
44803,8.0,89.0,0.0,138,44811,0.0001785275936711968,0.0019861194795920646,41.0
617370,705.0,992.0,560726.0,2572,618075,0.0011406382720543624,0.0016049832140112446,875.0
2282153,1628.0,2676.0,1028085.0,6711,2283781,0.0007128529399272522,0.0011717410732465154,2407.0
97217,23.0,354.0,0.0,507,97240,0.0002365281777046483,0.0036404771698889346,130.0
1256193,787.0,2036.0,6982518.0,3835,1256980,0.0006261038361787777,0.001619755286480294,1012.0
22142,26.0,96.0,16.0,145,22168,0.0011728617827499097,0.004330566582461205,23.0
18471,51.0,337.0,25.0,444,18522,0.00275348234531908,0.018194579419069216,56.0
25532,17.0,136.0,1364.0,312,25549,0.0006653880778112646,0.005323104622490117,159.0
1604866,566.0,1452.0,1803761.0,3541,1605432,0.00035255308228564024,0.0009044294619765895,1523.0
180104,284.0,321.0,249975.0,1419,180388,0.0015743841053728628,0.0017794975275517218,814.0
22573,66.0,333.0,0.0,483,22639,0.0029153231149785766,0.014709130261937365,84.0
268890,333.0,629.0,44757.0,2175,269223,0.0012368928360504117,0.002336353134761889,1213.0
10146,102.0,389.0,140.0,536,10248,0.009953161592505855,0.03795862607338017,45.0
236956,105.0,184.0,16959.0,582,237061,0.0004429239731545889,0.0007761715339089939,293.0
6810,5.0,133.0,540.0,491,6815,0.0007336757153338225,0.019515774027879677,353.0
2471,1.0,10.0,176.0,42,2472,0.0004045307443365696,0.0040453074433656954,31.0
6434,5.0,294.0,544.0,591,6439,0.0007765180928715639,0.04565926386084796,292.0
8435,5.0,231.0,225.0,674,8440,0.0005924170616113745,0.0273696682464455,438.0
13754,8.0,247.0,13.0,1011,13762,0.0005813108559802354,0.017947972678389768,756.0
8630,4.0,53.0,0.0,377,8634,0.000463284688441047,0.006138522121843873,320.0
12014,7.0,155.0,2.0,851,12021,0.0005823142833374927,0.012894101988187339,689.0
14619,7.0,219.0,9.0,1156,14626,0.0004785997538629837,0.014973335156570492,930.0
6583,12.0,74.0,0.0,369,6595,0.0018195602729340408,0.011220621683093252,283.0
61226,262.0,57.0,64034.0,462,61488,0.004260994015092376,0.0009270101483216238,143.0
6813,231.0,222.0,8658.0,638,7044,0.032793867120954,0.03151618398637138,185.0
1630,30.0,117.0,2861.0,204,1660,0.018072289156626505,0.07048192771084337,57.0
7856,160.0,247.0,995.0,737,8016,0.01996007984031936,0.030813373253493013,330.0
5264,145.0,142.0,1738.0,454,5409,0.02680717322980218,0.026252542059530412,167.0
1037,80.0,74.0,53.0,191,1117,0.07162041181736795,0.06624888093106536,37.0
8464,27.0,173.0,47845.0,372,8491,0.0031798374749735015,0.02037451419149688,172.0
11139,28.0,209.0,5387.0,469,11167,0.00250738783916898,0.018715859228082745,232.0
8547,1.0,6.0,11653.0,168,8548,0.0001169864295741694,0.0007019185774450163,161.0
6304,1.0,6.0,12115.0,117,6305,0.00015860428231562253,0.0009516256938937351,110.0
2909,3.0,19.0,4.0,53,2912,0.0010302197802197802,0.006524725274725275,31.0
1825,1.0,99.0,306.0,133,1826,0.000547645125958379,0.05421686746987952,33.0
4794,1.0,32.0,1488.0,107,4795,0.00020855057351407716,0.006673618352450469,74.0
6305,1.0,4.0,18825.0,114,6306,0.0001585791309863622,0.0006343165239454488,109.0
8275,2.0,277.0,11900.0,434,8277,0.00024163344206838228,0.033466231726470945,155.0
6306,1.0,3.0,5670.0,117,6307,0.00015855398763278897,0.0004756619628983669,113.0
6249,1.0,60.0,4203.0,175,6250,0.00016,0.0096,114.0
8582,97.0,216.0,13477.0,533,8679,0.0111764028113838,0.02488765986864846,220.0
1559,17.0,101.0,2741.0,144,1576,0.010786802030456852,0.06408629441624365,26.0
1437,5.0,9.0,265.0,32,1442,0.0034674063800277394,0.0062413314840499305,18.0
2978,2.0,63.0,1382.0,104,2980,0.0006711409395973154,0.021140939597315438,39.0
50370,40.0,248.0,5.0,647,50410,0.0007934933544931561,0.004919658797857568,359.0
133449,53.0,269.0,597.0,626,133502,0.00039699779778580097,0.002014951086875103,304.0
111790,64.0,125.0,182.0,340,111854,0.0005721744416829081,0.0011175282064119299,151.0
15274,47.0,96.0,11529.0,236,15321,0.0030676848769662555,0.006265909535931075,93.0
10285,26.0,97.0,314.0,171,10311,0.002521578896324314,0.009407428959363787,48.0
6344,2.0,18.0,93.0,27,6346,0.0003151591553734636,0.0028364323983611725,7.0
26934,73.0,455.0,0.0,671,27007,0.0027030029251675493,0.016847483985633353,143.0
14363,51.0,296.0,12624.0,444,14414,0.0035382267240183156,0.02053559039822395,97.0
5609,28.0,96.0,519.0,151,5637,0.004967181124711726,0.017030335284725917,27.0
45815,61.0,228.0,11.0,499,45876,0.001329671287819339,0.004969918911849333,210.0
35845,22.0,94.0,0.0,280,35867,0.0006133771990966627,0.0026207934870493767,164.0
9983,36.0,308.0,1132.0,389,10019,0.0035931729713544265,0.030741590977143428,45.0
62726,28.0,67.0,71.0,114,62754,0.0004461866972623259,0.0010676610255919941,19.0
26998,42.0,378.0,0.0,514,27040,0.0015532544378698224,0.013979289940828402,94.0
27122,20.0,253.0,0.0,337,27142,0.000736865374696043,0.009321346989904944,64.0
