NM,length,ratio,assembly
310,5614,0.0552190951193445,CHM1
2788,38483,0.0724475742535665,CHM1
13305,152018,0.0875225302266837,CHM1
4987,49271,0.101215725274502,CHM1
1862,18369,0.101366432576624,CHM1
4419,51396,0.0859794536539809,CHM1
2023,32846,0.061590452414297,CHM1
2047,29947,0.0683540922296056,CHM1
1403,21914,0.0640229989960756,CHM1
1445,23257,0.0621318312766049,CHM1
1037,16485,0.0629056718228693,CHM1
2208,28510,0.0774465099964925,CHM1
3951,49032,0.0805800293685756,CHM1
6554,70523,0.0929342200416885,CHM1
1214,20640,0.0588178294573643,CHM1
9026,109462,0.0824578392501507,CHM1
1118,18093,0.0617918532028962,CHM1
11058,118812,0.0930714069285931,CHM1
695,10766,0.0645550808099573,CHM1
224,5279,0.0424322788406895,CHM1
121,3200,0.0378125,CHM1
5093,64280,0.0792314872433105,CHM1
11273,131355,0.0858208671158312,CHM1
2290,31030,0.073799548823719,CHM1
7794,96042,0.0811519960017492,CHM1
6825,92282,0.0739580850003251,CHM1
1198,13384,0.0895098625224148,CHM1
15113,122130,0.123745189552117,CHM1
1896,26770,0.0708255509899141,CHM1
6896,84709,0.0814081148402177,CHM1
6277,78724,0.0797342614704537,CHM1
1751,24982,0.0700904651348971,CHM1
2502,32707,0.0764973858806983,CHM1
6286,77008,0.0816278828173696,CHM1
3309,42917,0.0771023137684368,CHM1
6413,77885,0.0823393464723631,CHM1
4011,48261,0.0831105861876049,CHM1
4845,61515,0.0787612777371373,CHM1
3984,51247,0.0777411360665015,CHM1
4561,57746,0.0789838257195304,CHM1
7211,84765,0.0850704889989972,CHM1
3647,46068,0.0791655813145785,CHM1
2182,28843,0.0756509378358701,CHM1
2330,28812,0.0808690823268083,CHM1
23901,228780,0.10447154471544699,CHM1
1852,24096,0.07685922974767599,CHM1
1729,22851,0.0756640847227692,CHM1
3546,45064,0.0786880880525475,CHM1
2200,31284,0.070323488045007,CHM1
3435,41643,0.0824868525322383,CHM1
1013,16102,0.0629114395727239,CHM1
4585,53348,0.0859451150933493,CHM1
1965,27071,0.07258690111189099,CHM1
250,4793,0.0521593991237221,CHM1
6045,73823,0.0818850493748561,CHM1
1466,15671,0.0935485929423776,CHM1
2045,26500,0.0771698113207547,CHM1
6250,63790,0.0979777394575952,CHM1
3667,45351,0.0808581949681374,CHM1
10672,110596,0.0964953524539766,CHM1
1786,22422,0.0796539113370797,CHM1
2988,37878,0.0788848408046887,CHM1
1654,20546,0.0805022875498881,CHM1
248,3882,0.0638845955692942,CHM1
4881,59281,0.0823366677350247,CHM1
12697,140424,0.0904190166923033,CHM1
3796,43204,0.0878622349782428,CHM1
2079,26037,0.0798479087452472,CHM1
3890,36066,0.10785781622580802,CHM1
2309,28731,0.0803661550241899,CHM1
1734,15673,0.110636125821476,CHM1
12430,143287,0.0867489723422223,CHM1
846,12902,0.0655712292667803,CHM1
5789,59756,0.0968773010241649,CHM1
4006,47414,0.0844898131353609,CHM1
594,8337,0.0712486505937387,CHM1
2043,27657,0.07386918320859101,CHM1
1960,25403,0.0771562413888124,CHM1
259,3937,0.0657861315722632,CHM1
15380,167173,0.0920005024734856,CHM1
114,3385,0.0336779911373708,CHM1
4770,58324,0.0817845140936836,CHM1
4838,61378,0.0788230310534719,CHM1
6282,50508,0.12437633642195302,CHM1
6617,76720,0.0862486965589156,CHM1
5297,64086,0.0826545579377711,CHM1
5997,59638,0.100556692041987,CHM1
2632,36829,0.0714654212712808,CHM1
2577,32528,0.0792240531234629,CHM1
1397,20287,0.0688618327007443,CHM1
1011,14261,0.070892644274595,CHM1
437,6824,0.0640386869871043,CHM1
3136,44366,0.0706847585989271,CHM1
7081,83298,0.08500804341040598,CHM1
806,10207,0.0789654158910552,CHM1
1580,18254,0.08655637120631099,CHM1
2752,32410,0.0849120641777229,CHM1
2748,33194,0.0827860456709044,CHM1
1488,18081,0.0822963331674133,CHM1
4265,47060,0.0906289842753931,CHM1
4752,37549,0.126554635276572,CHM1
22199,213888,0.10378796379413499,CHM1
10228,100928,0.10133956880152199,CHM1
2351,29254,0.0803650782798933,CHM1
1842,24943,0.0738483742933889,CHM1
6094,56981,0.10694793001175801,CHM1
1470,22246,0.066079295154185,CHM1
6581,50586,0.130095283279959,CHM1
3359,44269,0.0758770245544286,CHM1
3694,36601,0.100926204202071,CHM1
1951,24970,0.0781337605126151,CHM1
1134,16372,0.0692645980943074,CHM1
576,29937,0.0192404048501854,CHM1
266,31241,0.00851445216222272,CHM1
851,96967,0.0087761815875504,CHM1
752,52049,0.014447924071548001,CHM1
993,12317,0.0806202809125599,CHM1
1981,19098,0.10372813907215402,CHM1
1799,16211,0.11097402997964301,CHM1
1614,17700,0.0911864406779661,CHM1
2009,19086,0.10526040029340901,CHM1
491,9907,0.0495609165236701,CHM1
1919,15622,0.122839585200358,CHM1
457,7869,0.0580759944084382,CHM1
508,7833,0.0648538235669603,CHM1
249,7009,0.0355257526037951,CHM1
180,8634,0.0208478109798471,CHM1
306,7368,0.0415309446254072,CHM1
239,8615,0.0277423099245502,CHM1
835,11792,0.0708107191316147,CHM1
334,9029,0.0369919149407465,CHM1
159,6476,0.0245521927115503,CHM1
346,8721,0.0396743492718725,CHM1
428,11392,0.0375702247191011,CHM1
379,8378,0.0452375268560516,CHM1
337,8678,0.0388338326803411,CHM1
318,8504,0.0373941674506115,CHM1
416,8326,0.049963968292097004,CHM1
501,8679,0.0577255444175596,CHM1
450,8757,0.0513874614594039,CHM1
438,7690,0.0569570871261378,CHM1
546,8805,0.0620102214650767,CHM1
1024,12948,0.0790855730614767,CHM1
255,8510,0.0299647473560517,CHM1
239,7435,0.0321452589105582,CHM1
256,8517,0.0300575319948339,CHM1
217,8528,0.0254455909943715,CHM1
193,7555,0.0255459960291198,CHM1
254,8517,0.0298227075261242,CHM1
206,8348,0.0246765692381409,CHM1
383,8208,0.0466617933723197,CHM1
165,5842,0.0282437521396782,CHM1
164,5845,0.0280581693755346,CHM1
192,6270,0.030622009569377998,CHM1
1452,12096,0.12003968253968302,CHM1
497,11682,0.0425440849169663,CHM1
1781,15908,0.11195624842846401,CHM1
351,9116,0.0385037297060114,CHM1
117,6311,0.0185390587862462,CHM1
128,6308,0.020291693088142,CHM1
1765,15882,0.11113209923183501,CHM1
1263,11300,0.111769911504425,CHM1
904,13104,0.068986568986569,CHM1
1785,15906,0.11222180309317199,CHM1
117,6310,0.0185419968304279,CHM1
373,9199,0.0405478856397435,CHM1
122,6313,0.0193252019642009,CHM1
122,6310,0.0193343898573693,CHM1
403,8850,0.0455367231638418,CHM1
146,6781,0.0215307476773337,CHM1
116,6308,0.0183893468611287,CHM1
140,5063,0.0276515899664231,CHM1
179,6734,0.0265815265815266,CHM1
326,7363,0.0442754312101046,CHM1
506,11642,0.0434633224531867,CHM1
362,8876,0.040784136998647996,CHM1
1340,12833,0.10441829657913199,CHM1
224,7210,0.0310679611650485,CHM1
783,11200,0.0699107142857143,CHM1
450,6943,0.0648134812040904,CHM1
459,6942,0.0661192739844425,CHM1
2660,16432,0.16187925998052602,CHM1
539,9712,0.055498352553542,CHM1
2109,14304,0.14744127516778502,CHM1
2822,19201,0.14697151190042199,CHM1
1286,13209,0.0973578620637444,CHM1
1267,13211,0.0959049277117554,CHM1
959,11004,0.0871501272264631,CHM1
874,10493,0.0832936243209759,CHM1
1162,10514,0.11051930758988,CHM1
644,8738,0.0737010757610437,CHM1
645,8760,0.0736301369863014,CHM1
666,8740,0.0762013729977117,CHM1
512,8460,0.0605200945626478,CHM1
457,7148,0.0639339675433688,CHM1
685,8118,0.084380389258438,CHM1
631,8375,0.0753432835820896,CHM1
1882,14473,0.130035238029434,CHM1
1161,9985,0.116274411617426,CHM1
1371,12909,0.10620497327446,CHM1
1361,11895,0.11441782261454402,CHM1
1089,11564,0.0941715669318575,CHM1
893,10265,0.0869946419873356,CHM1
705,8144,0.0865667976424362,CHM1
93,37701,0.00246677806954723,CHM1
514,78910,0.00651374984159169,CHM1
2456,37232,0.0659647614954878,CHM1
14,29995,0.00046674445740956796,CHM1
67,217984,0.000307362008220787,CHM1
243,56533,0.00429837440079246,CHM1
569,53738,0.0105884104358182,CHM1
93,145844,0.0006376676448808321,CHM1
406,18424,0.0220364741641337,CHM1
890,71020,0.0125316812165587,CHM1
267,18986,0.0140629937848941,CHM1
113,5925,0.0190717299578059,CHM1
193,40131,0.00480924970720889,CHM1
1330,80812,0.0164579517893382,CHM1
728,76645,0.00949833648639833,CHM1
247,88547,0.0027894790337335,CHM1
1133,103924,0.0109021977599015,CHM1
27,26474,0.00101986855027574,CHM1
796,76564,0.0103965310067395,CHM1
30,33056,0.000907550822846079,CHM1
80,10440,0.00766283524904215,CHM1
397,80481,0.00493284129173345,CHM1
265,79693,0.00332526068788978,CHM1
440,87471,0.00503023859336237,CHM1
143,50029,0.0028583421615463,CHM1
529,47321,0.0111789691680227,CHM1
377,32643,0.0115491835921943,CHM1
229,28904,0.00792277885413784,CHM1
290,30448,0.00952443510246978,CHM1
114,53349,0.00213687229376371,CHM1
503,113553,0.00442964959093991,CHM1
238,23111,0.0102981264333002,CHM1
103,75301,0.00136784372053492,CHM1
919,409911,0.00224195008184704,CHM1
213,28837,0.00738634393314145,CHM1
90,30003,0.0029997000299970002,CHM1
455,30982,0.0146859466787167,CHM1
868,128646,0.006747197736423989,CHM1
53,69285,0.0007649563397560799,CHM1
628,44176,0.0142158638174574,CHM1
19,26670,0.000712410948631421,CHM1
206,29912,0.00688686814656325,CHM1
128,7761,0.016492720010308003,CHM1
327,139000,0.00235251798561151,CHM1
115,174700,0.000658271322266743,CHM1
23243,990984,0.0234544654605927,CHM1
280,290815,0.0009628114093152,CHM1
64,50445,0.00126870849439984,CHM1
1937,93071,0.0208120682059933,CHM1
54,54765,0.0009860312243221028,CHM1
711,56125,0.0126681514476615,CHM1
945,39744,0.0237771739130435,CHM1
307,15473,0.0198410133781426,CHM1
88,13508,0.00651465798045603,CHM1
288,75018,0.00383907862113093,CHM1
464,56829,0.00816484541343328,CHM1
749,101493,0.007379819297882609,CHM1
1944,39138,0.0496703970565691,CHM1
117,69026,0.00169501347318402,CHM1
176,14604,0.0120514927417146,CHM1
83,41716,0.00198964426119475,CHM1
197,75966,0.0025932654082089397,CHM1
134,68980,0.0019425920556683102,CHM1
259,55658,0.004653419095188471,CHM1
64,19782,0.0032352643817612,CHM1
182,60367,0.00301489224245035,CHM1
165,43564,0.00378753098888991,CHM1
164,39743,0.00412651284502931,CHM1
19644,946760,0.0207486585829566,CHM1
1745,1005223,0.0017359332207878301,CHM1
2084,1356006,0.00153686635604857,CHM1
322,32746,0.009833262077811029,CHM1
385,80985,0.00475396678397234,CHM1
350,48471,0.00722081244455448,CHM1
6255,3017970,0.00207258521456476,CHM1
328,35173,0.0093253347738322,CHM1
185,21966,0.00842210689247018,CHM1
4244,1959754,0.00216557792457625,CHM1
1424,580448,0.00245327746843817,CHM1
396,33448,0.0118392729012198,CHM1
520,67021,0.00775876217901852,CHM1
1851,69694,0.0265589577295033,CHM1
299,33474,0.00893230567007229,CHM1
735,56292,0.0130569175015988,CHM1
539,38303,0.0140720048038013,CHM1
2752,1369194,0.00200994161528607,CHM1
1550,997482,0.00155391275231032,CHM1
245,12280,0.0199511400651466,CHM1
2135,996068,0.00214342795873374,CHM1
3894,701516,0.00555083561885973,CHM1
703,38777,0.0181293034530779,CHM1
993,36058,0.027538965000832003,CHM1
1066,104841,0.0101677778731603,CHM1
55,35076,0.00156802371992245,CHM1
562,45509,0.0123492056516293,CHM1
168,37504,0.004479522184300339,CHM1
45,42432,0.00106052036199095,CHM1
3250,1124207,0.00289092667097785,CHM1
1338,510669,0.00262009246694043,CHM1
3831,1712484,0.00223710119335422,CHM1
37040,3343299,0.011078877479998,CHM1
458,23500,0.0194893617021277,CHM1
257,13213,0.0194505411337319,CHM1
237,37026,0.00640090747042619,CHM1
4250,2392540,0.0017763548362827802,CHM1
194,135794,0.00142863454939099,CHM1
265,249507,0.0010620944502559,CHM1
108,51641,0.00209136151507523,CHM1
29,69685,0.000416158427208151,CHM1
329,99020,0.00332256109876793,CHM1
554,31497,0.0175889767279423,CHM1
884,23390,0.0377939290294998,CHM1
899,14125,0.063646017699115,CHM1
2286,293863,0.00777913517523472,CHM1
438,27398,0.0159865683626542,CHM1
19,64396,0.000295049381949189,CHM1
328,41342,0.007933820327995741,CHM1
730,172012,0.0042438899611655,CHM1
1839,158634,0.0115927228715156,CHM1
32,24453,0.00130863288758026,CHM1
69,20752,0.0033249807247494197,CHM1
228,12141,0.0187793427230047,CHM1
17,42710,0.000398033247483025,CHM1
1593,13594,0.117184051787553,CHM1
975,16723,0.0583029360760629,CHM1
1669,14791,0.112838888513285,CHM1
1383,14671,0.0942676027537319,CHM1
1661,14794,0.11227524672164399,CHM1
434,7949,0.0545980626493899,CHM1
1536,16676,0.0921084192852003,CHM1
1094,11346,0.0964216463952054,CHM1
1640,16802,0.0976074276871801,CHM1
1703,16727,0.101811442577868,CHM1
1648,16716,0.098588178990189,CHM1
1356,14022,0.0967051775780916,CHM1
779,10463,0.0744528337952786,CHM1
103,7467,0.0137940270523637,CHM1
42,54493,0.0007707411961169321,CHM1
1799,25231,0.07130117712338001,CHM1
2573,39116,0.0657787094794969,CHM1
2709,40241,0.0673194006113168,CHM1
703,29959,0.0234654027170466,CHM1
252,26773,0.00941246778470847,CHM1
1222,33901,0.0360461343323206,CHM1
2372,90861,0.026105809973476002,CHM1
2692,211277,0.0127415667583315,CHM1
561,26987,0.0207877867121206,CHM1
217,13749,0.0157829660338934,CHM1
173,10175,0.017002457002457,CHM1
776,88442,0.008774111847312359,CHM1
344,56436,0.00609540009922744,CHM1
