NM,length,ratio
1310,22759,0.0575596467331605
610,11765,0.0518487037824054
1997,14562,0.137137755802774
1532,27233,0.0562552785223809
3633,45052,0.0806401491609696
961,15404,0.0623863931446378
1272,22327,0.0569713799435661
1407,20099,0.0700034827603363
607,11922,0.0509142761281664
483,11701,0.041278523203145
739,11354,0.0650871939404615
2315,26218,0.0882981157983065
1136,17491,0.0649476873820822
2739,37894,0.0722805721222357
4106,53322,0.0770038633209557
3762,25900,0.145250965250965
891,14713,0.0605586895942364
1515,21700,0.069815668202765
3724,57286,0.0650071570715358
1107,12248,0.0903821032005225
735,12416,0.0591978092783505
1840,17766,0.103568614206912
512,10999,0.0465496863351214
1782,23696,0.075202565833896
1415,26322,0.0537573132740673
1544,26693,0.0578428801558461
2408,28152,0.0855356635407786
437,10984,0.0397851420247633
2145,24498,0.0875581680137154
471,11314,0.0416298391373519
1610,26161,0.0615419899850923
4852,59889,0.0810165472791331
1564,23120,0.0676470588235294
1474,20972,0.0702841884417318
1458,20996,0.0694417984377977
1413,20995,0.0673017385091688
924,14373,0.0642872051763724
922,14344,0.0642777467930842
3296,43696,0.0754302453313805
1397,15234,0.0917027701194696
1439,19524,0.0737041589838148
902,13195,0.0683592269799166
1093,15237,0.0717332808295596
2112,28350,0.0744973544973545
1128,10756,0.104871699516549
1206,15960,0.0755639097744361
1041,8239,0.12635028522879
2461,24539,0.100289335343739
2255,30559,0.0737916816649759
1937,28763,0.0673434620867086
2168,30730,0.0705499511877644
1501,20069,0.0747919677113957
1431,17231,0.0830479948929255
1111,16826,0.0660287650065375
1089,9611,0.113307668296743
2803,41964,0.0667953483938614
795,11438,0.0695051582444483
1704,25164,0.0677157844539819
1115,16797,0.0663809013514318
2198,35400,0.062090395480226
1546,25201,0.0613467719534939
3989,57210,0.0697255724523685
1787,24161,0.0739621704399652
1633,24283,0.0672486925009266
1065,15094,0.0705578375513449
2378,38329,0.0620417960291163
2852,36325,0.0785134205092911
1905,32655,0.0583371612310519
1788,25815,0.0692620569436374
1974,32167,0.0613672397177231
2275,29503,0.0771108022912924
1285,16928,0.0759097353497164
3977,33805,0.117645318739831
1870,34767,0.053786636753243
3173,20331,0.156067089666027
2061,25974,0.0793485793485794
839,13219,0.0634692488085332
2099,29578,0.0709649063493137
1741,20143,0.0864320111204885
1195,17666,0.067644062040077
1197,18113,0.0660851322254734
2712,21940,0.123609845031905
1258,17453,0.0720792986879047
3314,43497,0.076189162470975
1715,20397,0.0840809923027896
1462,22574,0.0647647736333835
3831,50297,0.0761675646658846
1764,33274,0.0530143655707159
2252,30700,0.0733550488599349
1368,19265,0.0710096029068259
1042,15892,0.0655675811729172
2523,28956,0.0871322005801906
1517,20373,0.0744612968144112
1184,14653,0.0808025660274347
1136,16390,0.0693105552165955
1319,18316,0.072013540074252
2012,27726,0.0725672653826733
1227,16419,0.0747304951580486
1896,20547,0.0922762447072565
2216,33799,0.0655640699428977
2300,31004,0.0741839762611276
1483,20187,0.0734631198295933
1331,18587,0.0716091892182708
1457,19649,0.0741513563031198
1395,22503,0.0619917344354086
2593,29848,0.0868734923612972
2239,31728,0.0705685829551185
1241,17165,0.0722982813865424
3408,28295,0.120445308358367
1855,29449,0.0629902543380081
851,13121,0.0648578614434875
852,12287,0.0693415805322699
1542,27255,0.0565767749036874
1342,18961,0.0707768577606666
4114,27530,0.149436977842354
1988,26080,0.0762269938650307
798,12076,0.0660814839350778
1731,26210,0.0660434948492942
3526,25366,0.139004967279035
1211,13121,0.0922947946040698
2220,29148,0.07616303005352
1184,15766,0.0750983128250666
1444,20211,0.0714462421453664
1792,28257,0.0634179141451676
1162,15536,0.0747940267765191
1518,24366,0.0622999261265698
1569,23364,0.0671545968156138
1029,14272,0.0720992152466368
1699,21798,0.0779429305440866
1102,16288,0.0676571709233792
6523,68688,0.0949656417423713
1460,20319,0.0718539298193809
1589,24550,0.0647250509164969
1793,26096,0.0687078479460454
3217,24295,0.13241407697057
1401,20319,0.0689502436143511
2126,25740,0.0825951825951826
2558,24487,0.104463592926859
1391,21819,0.0637517759750676
697,12222,0.0570283096056292
1124,17854,0.0629550800940966
3690,23786,0.155133271672412
1833,24345,0.0752926678989526
1457,20921,0.0696429424979686
1726,21539,0.0801337109429407
1482,21978,0.0674310674310674
1327,19317,0.0686959672827044
1351,19827,0.068139405860695
1282,22335,0.0573987015894336
1732,23746,0.0729386001852944
1385,22213,0.0623508756133796
2206,28684,0.0769069864732952
1777,23056,0.0770732130464955
1156,16825,0.0687072808320951
1141,17508,0.0651702079049577
1475,22706,0.0649608033118999
1369,20556,0.0665985600311345
818,11221,0.072899028607076
1234,18960,0.065084388185654
1725,22935,0.0752125572269457
1499,21681,0.0691388773580554
1471,20820,0.0706532180595581
3638,28626,0.127087263327045
925,13399,0.0690350026121352
1259,20881,0.0602940472199607
1184,19456,0.0608552631578947
1411,16427,0.0858951725817252
921,16368,0.0562683284457478
1192,17619,0.067654236903343
1120,17033,0.065754711442494
1471,20582,0.0714702166941988
1198,18102,0.0661805325378411
4263,32972,0.129291520077642
1311,18013,0.0727807694442902
1390,22447,0.0619236423575534
1504,20736,0.0725308641975309
1164,16565,0.0702686386960459
1135,18280,0.062089715536105
973,14845,0.0655439541933311
1228,19736,0.0622213214430482
2285,19049,0.119953803349257
1199,19417,0.0617500128753154
2188,22547,0.097041735042356
1239,19619,0.0631530659054998
1058,17134,0.0617485700945489
1003,19651,0.051040659508422
840,13646,0.0615565000732816
1133,18927,0.0598615734136419
1018,16248,0.0626538650910881
828,14376,0.0575959933222037
700,12108,0.0578130161876445
1350,20845,0.0647637323099065
1137,17348,0.0655406963338713
1434,22145,0.0647550237073832
1015,13948,0.0727702896472613
1669,20107,0.0830059183368976
2101,19383,0.108393953464376
1260,19479,0.0646850454335438
1517,21196,0.0715701075674656
1120,15803,0.0708726191229513
1174,17735,0.0661967860163519
1487,17851,0.0833006554254664
1069,16018,0.0667374204020477
1137,17325,0.0656277056277056
1040,17059,0.0609648865701389
999,17035,0.0586439683005577
760,12058,0.063028694642561
1067,16024,0.0665876185721418
1226,20912,0.0586266258607498
1192,16157,0.073776072290648
3363,22975,0.146376496191513
1037,17472,0.0593521062271062
964,14724,0.0654713393099701
1424,18447,0.0771941237057516
1088,15976,0.0681021532298448
755,11592,0.0651311249137336
681,11628,0.0585655314757482
1213,18915,0.0641289981496167
1180,18165,0.0649600880814754
895,13956,0.0641301232444827
1690,18679,0.0904759355425879
1101,16030,0.0686837180286962
1251,17254,0.0725049263938797
3039,21943,0.138495192088593
1862,16282,0.114359415305245
1034,15162,0.0681968078089962
1300,18670,0.0696304231387252
946,15974,0.0592212345060724
1303,13304,0.0979404690318701
1857,25736,0.0721557351569786
912,14632,0.0623291416074358
829,13115,0.0632100648112848
778,13192,0.0589751364463311
746,12481,0.0597708516945758
783,12948,0.0604726598702502
947,14158,0.0668879785280407
606,11388,0.0532139093782929
1322,19178,0.0689331525706539
1810,22539,0.0803052486800657
1324,17412,0.0760395129795543
844,14300,0.059020979020979
954,15894,0.0600226500566251
1671,21702,0.0769975117500691
1925,14100,0.136524822695035
1542,22442,0.0687104536137599
733,10674,0.0686715383174068
828,14459,0.0572653710491735
869,14716,0.0590513726556129
4570,52415,0.0871887818372603
1140,14770,0.0771834800270819
1225,15811,0.0774777053949782
2013,27631,0.0728529550142955
605,11734,0.0515595704789501
700,10596,0.0660626651566629
817,14130,0.0578202406227884
997,13759,0.0724616614579548
663,10604,0.0625235760090532
404,5620,0.0718861209964413
4750,60650,0.078318219291014
3815,51724,0.0737568633516356
2546,31922,0.0797569074619385
4932,73776,0.0668510084580351
3071,41133,0.0746602484623052
2257,29156,0.0774111675126904
1526,20452,0.074613729708586
1617,15115,0.106979821369501
2414,32411,0.0744808861189103
912,13596,0.0670785525154457
2143,28794,0.0744252274779468
2420,31696,0.0763503281171126
2332,31157,0.0748467439098758
1401,19549,0.071666069875697
1940,27520,0.0704941860465116
1265,18244,0.0693378645033984
2612,36015,0.0725253366652784
1688,24562,0.0687240452731862
1671,21403,0.0780731673129935
2229,29092,0.076619001787433
828,12518,0.0661447515577568
1848,23937,0.0772026569745582
1739,25231,0.0689231500931394
1387,20995,0.0660633484162896
785,11974,0.0655587105395023
1060,15754,0.0672844991748127
1892,21331,0.0886972012563874
1299,18988,0.0684116283968822
1842,26866,0.0685624953472791
788,11432,0.0689293212036389
2500,32721,0.0764035328993613
1418,21370,0.0663547028544689
832,12923,0.0643813356031881
976,13514,0.0722214000295989
1598,22907,0.0697603352686952
1562,20626,0.0757296615921652
1582,21716,0.072849511880641
632,10937,0.0577854987656579
1322,19481,0.0678609927621785
1851,21466,0.0862293860057766
871,12937,0.0673262734791683
765,12001,0.0637446879426715
1850,26959,0.0686227233947847
1762,24748,0.0711976725391951
1773,23710,0.0747785744411641
1220,16861,0.0723563252476128
1595,22761,0.0700760072053073
1611,21970,0.0733272644515248
1089,18777,0.0579964850615114
1090,15333,0.0710885019239549
2031,27528,0.0737794245858762
1452,21740,0.0667893284268629
1686,23167,0.0727759312815643
1979,22322,0.0886569303825822
1048,14266,0.0734613766998458
1452,19045,0.0762404830664216
1543,20889,0.073866628368998
1341,16020,0.0837078651685393
1966,21221,0.0926440789783705
1278,18217,0.0701542515233024
1719,22752,0.0755537974683544
1199,17998,0.0666185131681298
1786,25051,0.0712945590994371
1056,14678,0.0719444065949039
1577,21423,0.0736124725762032
1386,19149,0.0723797587341376
1076,15357,0.0700657680536563
4204,44226,0.0950572061683173
1638,21006,0.0779777206512425
2114,24850,0.0850704225352113
1747,23637,0.0739095485890764
3906,41716,0.0936331383641768
3267,41412,0.0788901767603593
881,13568,0.0649321933962264
4058,51559,0.0787059485249908
1238,17734,0.0698094056614413
2047,28233,0.0725038076010343
1062,14977,0.0709087267142953
763,11020,0.0692377495462795
1831,20179,0.0907378958323009
1134,16726,0.067798636852804
2043,28222,0.0723903337821558
1585,21965,0.0721602549510585
2184,31067,0.0702996748961921
2498,30031,0.0831807132629616
1990,27070,0.0735131141485039
3691,55090,0.0669994554365584
1892,26221,0.0721559055718699
1496,19692,0.0759699370302661
1195,15913,0.0750958335951738
1331,19155,0.0694857739493605
1875,26638,0.0703881672798258
1058,16118,0.0656408983744882
947,13863,0.0683113323234509
1418,19724,0.0718921111336443
2074,24521,0.0845805635985482
1095,15793,0.0693345152915849
3588,39794,0.090164346383877
2504,35693,0.0701538116717564
1380,16752,0.082378223495702
1275,17602,0.0724349505737984
2049,22849,0.0896756969670445
919,13868,0.0662676665705221
766,11711,0.0654085902143284
1324,21587,0.0613332098021958
1788,22107,0.0808793594788981
921,14378,0.0640561969675894
1457,19184,0.0759487072560467
868,12654,0.0685949107001739
2588,29486,0.0877704673404328
2014,25739,0.078247018143673
1364,18268,0.0746660827676812
845,12143,0.069587416618628
858,15076,0.0569116476518971
1779,23012,0.0773074917434382
1634,21783,0.0750126245237112
736,12358,0.0595565625505745
2013,26684,0.0754384649977515
898,12672,0.070864898989899
1767,24485,0.0721666326322238
2214,28783,0.0769204044053782
1775,24022,0.0738906002830739
766,11632,0.0658528198074278
2091,29117,0.0718137170725006
897,13663,0.065651760228354
1668,22252,0.0749595541973755
891,13556,0.0657273532015344
1573,19762,0.0795972067604494
1055,16268,0.0648512417014999
2027,24286,0.0834637239561888
814,13072,0.0622705018359853
6052,66308,0.0912710381854376
2096,28429,0.0737275317457526
1063,16136,0.0658775409023302
1623,22267,0.0728881304172093
2564,28963,0.0885267410143977
2357,27658,0.0852194663388531
4621,59200,0.0780574324324324
1659,19073,0.0869815970219682
1595,19322,0.0825483904357727
1230,17001,0.0723486853714487
1162,16840,0.0690023752969121
2415,20251,0.119253370203941
2877,35666,0.0806650591599843
2166,26553,0.0815727036493052
1308,17560,0.0744874715261959
3293,49114,0.0670480921936719
1494,22040,0.0677858439201452
1822,11438,0.159293582794195
1038,15856,0.0654641775983855
1191,15637,0.0761655048922428
1260,17584,0.071656050955414
707,11914,0.0593419506462985
1189,18382,0.0646828419105647
946,14870,0.0636180228648285
3767,52143,0.0722436376886639
1251,16026,0.0780606514414077
1559,22058,0.070677305286064
3873,31519,0.122878263904312
3809,50276,0.0757617948921951
1212,16271,0.074488353512384
760,11340,0.0670194003527337
1869,27265,0.0685494223363286
1502,24732,0.0607310367135695
3072,40118,0.0765741063861608
641,11125,0.0576179775280899
1113,16231,0.0685724847514016
4295,65190,0.0658843380886639
1959,24244,0.0808034977726448
2745,35880,0.076505016722408
2104,17049,0.123408997595167
992,16025,0.0619032761310452
1480,20651,0.07166723161106
1419,14129,0.100431736145516
1389,22593,0.0614792192271943
1133,16860,0.0672004744958482
786,12598,0.0623908556913796
989,13418,0.0737069607989268
2537,28597,0.0887155995384131
1824,19758,0.0923170361372609
1875,23274,0.0805620005155968
1352,11115,0.121637426900585
2227,31247,0.0712708420008321
1184,17173,0.0689454376055436
1118,18394,0.0607806893552245
1372,22103,0.0620730217617518
708,11808,0.0599593495934959
3288,43620,0.0753782668500688
1511,18976,0.0796268971332209
741,11335,0.0653727393030437
934,13693,0.0682100343241072
990,16207,0.0610847164805331
1274,18932,0.0672934713712233
1378,18121,0.0760443684123393
1518,23280,0.0652061855670103
1562,23570,0.0662706830717013
1312,19843,0.0661190344201986
759,9679,0.0784171918586631
1011,16050,0.0629906542056075
1069,15485,0.0690345495640943
1992,22105,0.0901153585161728
943,16297,0.0578634104436399
1111,16670,0.0666466706658668
1410,21816,0.0646314631463146
1163,18406,0.0631859176355536
1453,17233,0.0843149770788603
1714,24437,0.0701395424970332
2462,35912,0.0685564713744709
2464,20366,0.120985956987135
1313,19799,0.0663164806303349
1322,18256,0.0724145486415425
6598,65854,0.10019133234124
1008,13787,0.0731123522158555
2122,26778,0.0792441556501606
939,15875,0.0591496062992126
1273,20292,0.0627340823970038
939,14180,0.0662200282087447
1053,13917,0.0756628583746497
1058,15598,0.0678292088729324
844,13489,0.06256950107495
1268,18391,0.0689467674405959
1649,25220,0.0653846153846154
4653,52416,0.0887706043956044
1568,22928,0.0683879972086532
1415,16532,0.0855915799661263
1465,20403,0.0718031662010489
1250,17239,0.0725100063808806
5372,43263,0.124170769479694
3321,36687,0.0905225284160602
1217,15867,0.0767000693262747
1471,22413,0.0656315531164949
734,11210,0.0654772524531668
1022,14798,0.0690633869441816
709,11259,0.0629718447464251
2585,25317,0.102105304735948
1042,15269,0.0682428449800249
3361,29952,0.112212873931624
2216,26246,0.0844319134344281
923,14049,0.0656986262367428
1754,25693,0.0682676215311563
1130,14749,0.0766153637534748
1659,21201,0.078251025895005
836,13927,0.0600272851296044
3606,21252,0.169678147939018
1327,19136,0.0693457357859532
604,10573,0.0571266433368013
2097,26064,0.0804558011049724
1069,15159,0.0705191635332146
909,12002,0.075737377103816
4791,53950,0.0888044485634847
1163,17651,0.0658886182086001
968,15079,0.0641952384110352
1459,18171,0.0802927742006494
2208,29637,0.0745014677598947
895,13677,0.0654383271185201
1416,17501,0.0809096623050112
5997,67946,0.0882612662997086
1152,16028,0.0718742201147991
2991,30618,0.0976876347246718
3281,37453,0.0876031292553334
2154,21038,0.102386158380074
859,12162,0.0706298306199638
1117,16648,0.0670951465641519
