match,insertion,deletion,soft_clipping,NM,lengths,INS_readLength,DEL_readLength,NM_INS_DEL
8494,18.0,129.0,8515.0,420,8512,0.0021146616541353382,0.015155075187969925,273.0
5142,154.0,111.0,5542.0,456,5296,0.0290785498489426,0.020959214501510573,191.0
12259,82.0,316.0,0.0,879,12341,0.006644518272425249,0.02560570456202901,481.0
5033,16.0,85.0,6945.0,265,5049,0.0031689443454149336,0.016835016835016835,164.0
11726,586.0,427.0,1647.0,1489,12312,0.047595841455490576,0.0346816114359974,476.0
4240,12.0,99.0,6511.0,221,4252,0.0028222013170272815,0.02328316086547507,110.0
3139,16.0,148.0,32162.0,235,3155,0.005071315372424723,0.046909667194928686,71.0
63132,19.0,504.0,114.0,4003,63151,0.00030086617789108647,0.007980871245110925,3480.0
15841,194.0,264.0,2690.0,1185,16035,0.012098534455877767,0.01646398503274088,727.0
29162,256.0,1317.0,22524.0,2895,29418,0.008702155143109661,0.04476850907607587,1322.0
12662,15.0,161.0,497.0,708,12677,0.0011832452472982566,0.012700165654334622,532.0
11988,25.0,173.0,0.0,603,12013,0.0020810788312661285,0.014401065512361609,405.0
19170,0.0,64.0,52.0,977,19170,0.0,0.003338549817423057,913.0
8995,4.0,159.0,1056.0,494,8999,0.00044449383264807203,0.017668629847760863,331.0
10187,21.0,319.0,21760.0,672,10208,0.0020572100313479623,0.03125,332.0
9997,8.0,195.0,113.0,524,10005,0.00079960019990005,0.019490254872563718,321.0
14241,282.0,334.0,7158.0,1201,14523,0.019417475728155338,0.022998003167389657,585.0
7978,7.0,105.0,2778.0,366,7985,0.0008766437069505323,0.013149655604257984,254.0
11874,9.0,205.0,0.0,613,11883,0.0007573844988639232,0.01725153580745603,399.0
21975,39.0,323.0,547.0,1358,22014,0.0017715998909784683,0.014672481148360134,996.0
10011,13.0,200.0,4235.0,682,10024,0.0012968874700718276,0.019952114924181964,469.0
11962,32.0,253.0,2645.0,704,11994,0.0026680006670001667,0.02109388027347007,419.0
12054,21.0,153.0,0.0,690,12075,0.0017391304347826088,0.01267080745341615,516.0
6496,3.0,154.0,4662.0,375,6499,0.0004616094783812894,0.023695953223572857,218.0
10570,323.0,353.0,9940.0,1150,10893,0.029652070136785093,0.03240613237859176,474.0
9993,3.0,149.0,1380.0,501,9996,0.00030012004801920766,0.014905962384953982,349.0
23518,29.0,792.0,80.0,1868,23547,0.001231579394402684,0.03363485794368709,1047.0
4847,11.0,107.0,7638.0,290,4858,0.0022643062988884316,0.02202552490736929,172.0
13804,9.0,206.0,2246.0,764,13813,0.0006515601245203794,0.014913487294577572,549.0
19894,187.0,808.0,7421.0,2122,20081,0.009312285244758727,0.0402370399880484,1127.0
24716,25.0,400.0,7.0,1544,24741,0.001010468453174892,0.01616749525079827,1119.0
4509,0.0,67.0,25606.0,214,4509,0.0,0.014859170547793302,147.0
11440,22.0,188.0,4625.0,677,11462,0.0019193857965451055,0.016402024079567267,467.0
12781,22.0,226.0,0.0,805,12803,0.0017183472623603843,0.017652112786065766,557.0
27466,329.0,392.0,557.0,1966,27795,0.011836661270012592,0.014103255981291599,1245.0
12935,4.0,359.0,1597.0,933,12939,0.00030914290130612873,0.027745575392225056,570.0
23260,311.0,636.0,0.0,2280,23571,0.013194179288108268,0.02698230876925035,1333.0
19634,19.0,334.0,8272.0,1201,19653,0.0009667735205820994,0.016994860835495854,848.0
20477,9.0,383.0,897.0,1340,20486,0.0004393244166748023,0.018695694620716588,948.0
16742,80.0,346.0,8.0,1163,16822,0.004755677089525621,0.020568303412198313,737.0
7097,29.0,169.0,4895.0,505,7126,0.00406960426606792,0.023715969688464778,307.0
17107,404.0,469.0,1118.0,1683,17511,0.023071212380789217,0.026783164867797384,810.0
14054,8.0,188.0,0.0,794,14062,0.0005689091167685962,0.013369364244062012,598.0
13968,15.0,197.0,15163.0,756,13983,0.001072731173567904,0.014088536079525137,544.0
16198,216.0,293.0,9.0,1160,16414,0.013159497989521141,0.017850615328378214,651.0
78546,2106.0,3790.0,2958.0,9791,80652,0.02611218568665377,0.04699201507712146,3895.0
12979,553.0,751.0,12476.0,1948,13532,0.04086609518179131,0.0554980786284363,644.0
12016,169.0,495.0,1121.0,1269,12185,0.013869511694706606,0.040623717685679114,605.0
10550,22.0,161.0,0.0,667,10572,0.0020809685962920924,0.015228906545592131,484.0
17852,9.0,208.0,380.0,1084,17861,0.0005038911595095459,0.011645484575331728,867.0
17398,150.0,404.0,39.0,1559,17548,0.008547982676088443,0.023022566674264874,1005.0
4848,91.0,246.0,7713.0,608,4939,0.018424782344604172,0.04980765337112776,271.0
53822,986.0,1223.0,290.0,4985,54808,0.017990074441687345,0.0223142606918698,2776.0
43841,486.0,2198.0,2333.0,5171,44327,0.010963972296794279,0.049586031087147785,2487.0
9173,16.0,421.0,1135.0,849,9189,0.0017412123190771575,0.04581564914571771,412.0
25759,245.0,451.0,0.0,1993,26004,0.00942162744193201,0.01734348561759729,1297.0
11304,9.0,157.0,2.0,644,11313,0.0007955449482895784,0.013877839653495977,478.0
5432,226.0,154.0,8476.0,602,5658,0.039943442912689996,0.0272180982679392,222.0
10317,419.0,291.0,0.0,1393,10736,0.03902757078986587,0.027105067064083457,683.0
4353,12.0,207.0,14999.0,442,4365,0.0027491408934707906,0.04742268041237113,223.0
20815,581.0,446.0,0.0,2252,21396,0.027154608338007105,0.020845017760329033,1225.0
1502,1.0,21.0,12369.0,53,1503,0.0006653359946773121,0.013972055888223553,31.0
11774,130.0,258.0,4185.0,1109,11904,0.010920698924731184,0.021673387096774195,721.0
61132,270.0,151.0,46056.0,559,61402,0.0043972509038793526,0.002459203283280675,138.0
6434,23.0,137.0,13593.0,276,6457,0.0035620257085333747,0.021217283568220537,116.0
6931,407.0,248.0,11627.0,841,7338,0.05546470427909512,0.03379667484328155,186.0
5327,19.0,35.0,7046.0,215,5346,0.003554059109614665,0.0065469509913954355,161.0
7762,102.0,88.0,7404.0,445,7864,0.012970498474059003,0.011190233977619531,255.0
8283,170.0,64.0,13049.0,579,8453,0.020111203123151542,0.007571276469892346,345.0
7459,149.0,83.0,32367.0,533,7608,0.01958464773922187,0.01090956887486856,301.0
13315,376.0,279.0,40438.0,1001,13691,0.02746329705646045,0.02037835074136294,346.0
13222,465.0,782.0,6680.0,1742,13687,0.03397384379338058,0.057134507196609924,495.0
8942,2.0,113.0,41817.0,314,8944,0.00022361359570661896,0.012634168157423971,199.0
8945,1.0,110.0,17944.0,304,8946,0.000111781801922647,0.012295998211491169,193.0
8547,1.0,6.0,31837.0,165,8548,0.0001169864295741694,0.0007019185774450163,158.0
13505,1145.0,531.0,12783.0,2072,14650,0.07815699658703072,0.036245733788395906,396.0
10351,56.0,263.0,43339.0,634,10407,0.0053809935620255595,0.02527145190737004,315.0
8054,1.0,31.0,23602.0,222,8055,0.00012414649286157667,0.0038485412787088763,190.0
8531,1.0,8.0,26063.0,194,8532,0.00011720581340834506,0.0009376465072667605,185.0
8299,6.0,163.0,9224.0,358,8305,0.0007224563515954244,0.01962673088500903,189.0
8092,80.0,159.0,60859.0,387,8172,0.00978952520802741,0.019456681350954477,148.0
12449,468.0,662.0,47715.0,1377,12917,0.03623132306263064,0.05125029031508864,247.0
8532,136.0,21.0,129662.0,297,8668,0.015689893862482696,0.0024227041993539456,140.0
5969,65.0,305.0,8157.0,541,6034,0.010772290354656945,0.050546900894928734,171.0
7769,2.0,178.0,9947.0,304,7771,0.0002573671342169605,0.022905674945309484,124.0
6971,2.0,161.0,26650.0,262,6973,0.000286820593718629,0.023089057794349634,99.0
7218,1.0,27.0,8433.0,191,7219,0.00013852334118298935,0.003740130211940712,163.0
6756,1.0,7.0,13252.0,144,6757,0.0001479946721918011,0.0010359627053426078,136.0
6306,1.0,3.0,14616.0,112,6307,0.00015855398763278897,0.0004756619628983669,108.0
6303,1.0,6.0,4490.0,116,6304,0.00015862944162436547,0.0009517766497461929,109.0
8702,172.0,318.0,11092.0,682,8874,0.019382465629930134,0.03583502366463827,192.0
14750,713.0,528.0,40616.0,1825,15463,0.04611006919743905,0.034146025997542524,584.0
7198,1.0,47.0,39604.0,166,7199,0.00013890818169190166,0.006528684539519378,118.0
7113,408.0,132.0,11575.0,719,7521,0.054248105305145594,0.017550857598723574,179.0
7084,2.0,106.0,46039.0,265,7086,0.0002822466836014677,0.014959074230877787,157.0
8021,14.0,199.0,12957.0,427,8035,0.0017423771001866832,0.02476664592408214,214.0
7437,23.0,85.0,18142.0,387,7460,0.0030831099195710457,0.011394101876675604,279.0
9807,197.0,144.0,7062.0,776,10004,0.019692123150739704,0.014394242303078768,435.0
6633,4.0,62.0,13348.0,276,6637,0.0006026819346090101,0.009341569986439657,210.0
7009,2.0,61.0,24864.0,332,7011,0.0002852660105548424,0.008700613321922693,269.0
6764,3.0,306.0,8973.0,539,6767,0.0004433279148810403,0.04521944731786612,230.0
5996,156.0,124.0,5626.0,520,6152,0.025357607282184655,0.020156046814044214,240.0
11379,675.0,665.0,51436.0,1785,12054,0.05599800895968143,0.05516840882694541,445.0
7423,94.0,92.0,47632.0,398,7517,0.012504988692297459,0.012238925103099641,212.0
10227,146.0,313.0,3809.0,811,10373,0.014075002410103152,0.03017449146823484,352.0
10132,577.0,416.0,39421.0,1322,10709,0.05387991409095154,0.038845830609767484,329.0
