NM,length,ratio
430,11490,0.0374238468233246
3667,64156,0.0571575534634329
4287,580679,0.00738273641719435
1223,23486,0.0520735757472537
870,21504,0.0404575892857143
1179,440374,0.0026772697752365
289,27987,0.0103262228891986
222,20162,0.0110108124194028
544,22423,0.0242608036391205
2091,563982,0.0037075651350575
155,27847,0.0055661292060186
818,46301,0.0176670050322887
215,18676,0.011512101092311
4936,1183249,0.00417156490307619
1156,76988,0.015015327063958
6743,2212535,0.00304763540463767
3864,1774942,0.00217697254332818
3662,1792294,0.00204319157459658
217,23951,0.00906016450252599
332,27821,0.0119334315804608
784,19775,0.039646017699115
3399,1663555,0.00204321468181094
95,407,0.233415233415233
2477,43569,0.0568523491473295
484,18092,0.0267521556489056
1520,46409,0.0327522678790752
580,34582,0.016771730958302
604,33853,0.0178418456266801
817,28874,0.0282953522199903
2073,25811,0.0803145945527101
1486,19345,0.0768157146549496
1286,27761,0.046323979683729
1816,36801,0.0493464851498601
493,21591,0.0228335880691029
2336,19453,0.120084305762607
172,18680,0.00920770877944326
338,15614,0.0216472396567183
450,16424,0.0273989283974671
734,12333,0.0595151220303251
363,11579,0.0313498575006477
497,10555,0.0470866887730933
418,13048,0.0320355610055181
421,6162,0.0683219733852645
287,10102,0.0284102157988517
347,11152,0.0311154949784792
1039,11321,0.0917763448458617
302,6332,0.0476942514213519
1856,18718,0.0991558927235816
1491,30302,0.0492046729588806
377,18404,0.0204846772440774
471,8933,0.0527258479794022
511,18939,0.0269813612123132
325,11542,0.0281580315369953
1289,39256,0.0328357448542898
327,30777,0.0106248172336485
967,21698,0.0445663194764494
416,23062,0.0180383314543405
693,20712,0.0334588644264195
2275,37830,0.0601374570446735
494,22245,0.022207237581479
1233,15216,0.0810331230283912
218,10093,0.0215991281085901
345,10620,0.0324858757062147
421,8259,0.0509746942729144
793,16692,0.0475077881619938
549,10821,0.0507346825616856
1123,12850,0.0873929961089494
446,10203,0.0437126335391552
2426,52733,0.0460053476949918
777,24101,0.0322393261690386
10909,96697,0.112816323153769
1558,27470,0.0567164179104478
1366,17794,0.0767674497021468
1146,12008,0.0954363757495003
1847,30079,0.0614049669204428
4361,55217,0.0789792998533061
2924,1161585,0.00251725013666671
479,20592,0.0232614607614608
231,25029,0.00922929401893803
645,22330,0.028884908195253
3170,869325,0.00364650734765479
148,19136,0.00773411371237458
1151,52413,0.0219602007135634
260,22160,0.0117328519855596
24321,2208036,0.0110147660635968
463,24791,0.0186761324674277
2945,1847432,0.00159410468152549
221,26541,0.0083267397611243
443,22209,0.0199468683866901
846,136914,0.00617906130855866
967,405883,0.00238245996999135
8724,4088422,0.00213383060750578
1907,456361,0.00417870939891884
6332,3310002,0.00191298978067083
1257,72587,0.017317150453938
2274,1767603,0.00128648797269523
2112,998695,0.00211475976148874
304,9231,0.0329325100205828
114,25879,0.0044051161173152
3915,1691538,0.0023144617501942
69,16421,0.00420193654466841
3184,893950,0.0035617204541641
398,15310,0.0259960809928152
3548,849592,0.00417612218570796
1454,119012,0.0122172554028165
1893,66207,0.0285921428247768
685,84077,0.00814729355233893
409,38423,0.0106446659552872
278,2305,0.12060737527115
284,2163,0.131299121590384
264,2171,0.121602947950253
5,1813,0.00275785990071704
384,18061,0.0212612812136648
3169,1115430,0.00284105681217109
352,16205,0.0217216908361617
19211,2222656,0.00864326283509459
4386,1514421,0.00289615635282395
2348,453370,0.00517899287557624
1623,27480,0.059061135371179
1047,25807,0.0405703878792576
628,24222,0.0259268433655355
139,18637,0.00745828191232495
788,111690,0.00705524218819948
1158,225599,0.00513300147607037
476,22502,0.0211536752288685
4453,2237339,0.00199031081119133
202,17070,0.0118336262448741
5382,2618075,0.00205570887006675
2272,32902,0.069053552975503
1318,24310,0.0542163718634307
446,9709,0.0459367597074879
216,15742,0.0137212552407572
704,18065,0.0389703847218378
4942,511980,0.00965272080940662
4264,2169652,0.00196529212979777
7125,3172644,0.00224576094891201
385,22001,0.0174992045816099
212,26777,0.00791724240953057
436,13268,0.032861018993066
499,61836,0.00806973284171033
5605,2946073,0.00190253262563419
479,22122,0.0216526534671368
110,16350,0.00672782874617737
1037,255254,0.00406261997853119
262,34294,0.00763982037674229
4057,2436207,0.00166529363063155
46,23907,0.00192412264190404
4565,2274613,0.00200693480605272
5762,3441258,0.00167438768031923
375,29496,0.012713588283157
285,25238,0.011292495443379
20084,3786309,0.00530437425999833
362,27903,0.0129735153926101
534,38916,0.0137218624730188
210,32837,0.00639522489874227
177,75686,0.00233860951827286
478,22661,0.0210935086712855
2626,655010,0.0040090990977237
64,31893,0.00200670993634967
147,22352,0.00657659269863994
272,18692,0.014551679863043
612,28367,0.0215743645785596
462,22629,0.0204162799946971
189,20671,0.0091432441584829
2032,479197,0.00424042721469458
57,11573,0.00492525706385553
310,18277,0.0169612080757236
338,34239,0.00987178363854085
452,128340,0.00352189496649525
391,24186,0.0161663772430332
2299,985653,0.00233246385898486
3674,1096961,0.00334925307280751
4384,2139229,0.0020493364665494
246,23601,0.0104232871488496
642,84838,0.0075673636813692
1969,1004345,0.00196048170698316
261,30499,0.00855765762811896
1418,298983,0.00474274457076155
466,9960,0.0467871485943775
5257,2431983,0.00216161050467869
160,41786,0.00382903364763318
532,77119,0.00689842969955523
145,41642,0.00348206138033716
597,113339,0.00526738368963905
1248,108662,0.011485155804237
113,11941,0.00946319403735031
118,23527,0.00501551409019425
374,20281,0.0184409052808047
95,17219,0.00551716127533539
68,15143,0.00449052367430496
241,23734,0.0101542091514283
58,13191,0.00439693730573876
164,13478,0.0121679774447247
165,13735,0.0120131052056789
129,20003,0.00644903264510323
352,42682,0.00824703622135795
489,28945,0.0168941095180515
205,31304,0.00654868387426527
1064,16588,0.0641427537979262
330,24320,0.0135690789473684
219,13650,0.016043956043956
92,17724,0.00519070187316633
448,20295,0.0220744025622074
283,7086,0.0399379057296077
366,10157,0.0360342620852614
209,34870,0.00599369085173502
980,46562,0.0210472058760363
2559,278629,0.00918425576662874
773,113128,0.00683296796549042
321,92738,0.00346136427354483
484,21976,0.0220240262104114
626,26356,0.0237517073911064
3324,2171634,0.00153064466664272
176,29542,0.00595761966014488
3323,2079701,0.00159782584131084
51344,3321420,0.0154584484949208
3418,1149282,0.00297403074267238
2493,1034071,0.00241085960248378
50,23718,0.00210810355004638
396,24261,0.0163224928898232
2958,1200694,0.00246357523232397
194,20632,0.00940286932919736
528,71725,0.00736144998257232
6355,2387966,0.00266126067121559
2695,1592306,0.0016925138761017
465,5838,0.0796505652620761
3543,1680155,0.00210873401561165
1571,664104,0.00236559334080204
4087,1716525,0.00238097318710767
619,21800,0.028394495412844
1705,16563,0.102940288595061
1387,496254,0.00279493968814357
1021,636772,0.0016033996469694
228,65485,0.00348171336947393
65,5211,0.0124736135098829
563,245627,0.00229209329593245
263,19492,0.0134927149599836
229,6134,0.0373328985979785
354,36103,0.00980527933966706
1057,193277,0.00546883488464742
643,22802,0.0281992807648452
260,60168,0.00432123387847361
1458,37880,0.0384899683210137
2279,56243,0.040520598118877
587,69567,0.00843790877858755
1439,12490,0.115212169735789
336,6349,0.0529217199558986
727,8254,0.0880785073903562
512,20966,0.0244204903176572
356,13711,0.025964554007731
253,14634,0.0172885062183955
966,11733,0.0823318844285349
382,5128,0.0744929797191888
263,21511,0.0122263028218121
111,13847,0.00801617678919622
213,18962,0.0112329923003903
139,20570,0.00675741370928537
331,12056,0.0274552090245521
300,10722,0.0279798545047566
694,30714,0.0225955590284561
869,8795,0.0988061398521887
375,40834,0.00918352353430964
156,24467,0.00637593493276658
609,13001,0.0468425505730329
768,12771,0.0601362461827578
1315,61857,0.0212587096044102
584,148821,0.00392417736744142
270,141824,0.00190376805054152
610,88194,0.00691657028822822
422,28915,0.0145945011239841
146,48158,0.00303168736243199
257,176118,0.00145924891266083
775,399774,0.00193859530634809
26,60729,0.000428131535180886
2218,284545,0.00779490063083168
1949,835710,0.00233214871187374
604,228726,0.00264071421701075
150,49687,0.00301889830337915
94,12592,0.00746505717916137
1038,22085,0.0470002263980077
1516,593017,0.00255641912457822
15,11205,0.00133868808567604
384,49456,0.0077644775153672
2209,1726145,0.00127973026599735
241,9562,0.0252039322317507
560,19498,0.0287208944507129
57,18593,0.00306566987575969
842,416791,0.00202019717316353
137,9007,0.0152103919173976
300,5962,0.0503186850050319
320,27768,0.0115240564678767
193,29855,0.00646457879752135
597,14361,0.0415709212450386
697,18143,0.0384170203384225
166,81458,0.00203786000147315
353,92414,0.00381976756768455
1343,39356,0.0341244028864722
871,391023,0.00222749045452569
1584,101523,0.0156023758163175
426,17219,0.0247401126662408
1208,28090,0.0430046279814881
3018,1843056,0.00163749772117613
1404,764784,0.00183581246469591
1184,645129,0.00183529185635741
112,21641,0.00517536158218197
588,228404,0.00257438573755276
314,4469,0.0702618035354665
396,31008,0.0127708978328173
4975,2888609,0.0017222822472685
168,27419,0.00612713811590503
37322,2235719,0.0166935111255037
173,22668,0.00763190400564673
894,88104,0.0101470988831381
704,31644,0.0222475034761724
753,32388,0.023249351611708
324,11943,0.027128862094951
54,38019,0.00142034246034877
409,35978,0.0113680582578242
976,390303,0.00250062131216004
474,16462,0.0287935852265824
6150,2868085,0.0021442879133638
219,49770,0.00440024110910187
4409,1129999,0.00390177336440121
1434,38562,0.0371868679010425
1612,444990,0.00362255331580485
502,39101,0.0128385463287384
1772,436353,0.0040609323185586
5826,1457249,0.00399794407132892
1288,185788,0.00693263289340539
617,21343,0.028908775711006
1129,362193,0.00311712263903499
123,76089,0.00161652801324764
3185,824913,0.00386101322200038
998,15889,0.0628107495751778
443,145673,0.00304105771144962
696,14416,0.0482796892341843
3166,1028097,0.00307947596384388
141,19611,0.00718984243536791
4983,1234699,0.00403580143824527
225,19918,0.0112963148910533
82,23681,0.00346269160930704
3907,1901800,0.00205436954464192
256,16545,0.0154729525536416
657,18346,0.0358116210618118
943,15385,0.0612934676633084
1367,13613,0.100418717402483
619,9879,0.0626581637817593
611,8070,0.0757125154894672
2181,25045,0.0870832501497305
158,7137,0.0221381532856943
1513,16101,0.0939693186758586
487,14609,0.0333356150318297
1204,15323,0.0785746916400183
1741,16510,0.105451241671714
460,12890,0.0356865787432118
1971,24723,0.0797233345467783
186,14773,0.01259053679009
81,12996,0.00623268698060942
106,12486,0.00848950824923915
407,7820,0.0520460358056266
403,10313,0.0390768932415398
2275,26433,0.086066659100367
876,12318,0.0711154408183147
426,10476,0.0406643757159221
550,13951,0.0394236972260053
323,9538,0.0338645418326693
2051,19540,0.10496417604913
165,11213,0.0147150628734505
1991,27375,0.0727305936073059
223,11255,0.0198134162594402
1670,50799,0.0328746628870647
924,25848,0.0357474466109564
1045,22718,0.0459987674971388
6342,3826950,0.00165719437149688
1533,656256,0.00233597864248098
47662,3931490,0.0121231390643242
60,23507,0.00255243119070915
602,29011,0.0207507497156251
2,4876,0.000410172272354389
405,44861,0.00902788613717929
388,11600,0.033448275862069
278,18992,0.0146377422072452
6168,2525304,0.00244247821252412
689,30396,0.0226674562442427
404,21223,0.0190359515619846
674,264080,0.00255225689185095
3424,1014483,0.00337511816363606
794,74945,0.0105944359196744
267,1921,0.138990109318064
226,9833,0.0229838299603376
574,106368,0.00539635980746089
896,68737,0.0130351921090534
617,16153,0.0381972389029902
